"","username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"1",NA,2016-07-30 19:38:00,0,1,"No, not even close @CocaCola #ymmfire #ymm pic.twitter.com/84xPFAei1j",NA,"@CocaCola","#ymmfire #ymm",759533663000211456,"https://twitter.com/MapleWicket/status/759533663000211456"
"2",NA,2016-07-30 17:32:00,3,2,"Wildfire causes GDP to see biggest monthly drop in seven years http://www. mix1037fm.com/2016/07/30/106 44/#.V50cwIKnvaU.twitter … #ymm #ymmfire #rmwb pic.twitter.com/Gw6VwVcoyd",NA,NA,"# #ymm #ymmfire #rmwb",759501880544202752,"https://twitter.com/Mix1037FMNews/status/759501880544202752"
"3",NA,2016-07-30 17:32:00,0,0,"Wildfire causes GDP to see biggest monthly drop in seven years http://www. mix1037fm.com/2016/07/30/106 44/#.V50cwIKnvaU.twitter … #ymm #ymmfire #rmwb pic.twitter.com/v5nOZxmRvI",NA,NA,"# #ymm #ymmfire #rmwb",759501880531689472,"https://twitter.com/jarynvecchio/status/759501880531689472"
"4",NA,2016-07-30 17:12:00,0,0,"A&W welcoming back everyone with free burgers http://www. mix1037fm.com/2016/07/30/106 36/#.V50YGeAcv_k.twitter … #ymm #ymmfire #rmwb",NA,NA,"# #ymm #ymmfire #rmwb",759496958658486272,"https://twitter.com/jarynvecchio/status/759496958658486272"
"5",NA,2016-07-30 17:12:00,3,17,"A&W welcoming back everyone with free burgers http://www. mix1037fm.com/2016/07/30/106 36/#.V50YGeAcv_k.twitter … #ymm #ymmfire #rmwb",NA,NA,"# #ymm #ymmfire #rmwb",759496958012567552,"https://twitter.com/Mix1037FMNews/status/759496958012567553"
"6",NA,2016-07-30 15:35:00,4,4,"#fmspca is OPEN Wed to Sun July 27-31 11-5pm for FREE #pet #supplies Kennels, toys &more #ymmfire #ymmstrong #ymm pic.twitter.com/0j1f2P87Lm",NA,NA,"#fmspca #pet #supplies #ymmfire #ymmstrong #ymm",759472446307270656,"https://twitter.com/FMSPCA/status/759472446307270656"
"7",NA,2016-07-30 14:38:00,2,0,"First public meeting for recovery committee http://www. mix1037fm.com/2016/07/30/106 29/#.V5zzZ7czI0k.twitter … #ymm #ymmfire #rmwb pic.twitter.com/WIVLYluEXL",NA,NA,"# #ymm #ymmfire #rmwb",759458241646514176,"https://twitter.com/Mix1037FMNews/status/759458241646514176"
"8",NA,2016-07-30 14:38:00,1,1,"First public meeting for recovery committee http://www. mix1037fm.com/2016/07/30/106 29/#.V5zzZ7czI0k.twitter … #ymm #ymmfire #rmwb pic.twitter.com/CUMl3qJ1ZX",NA,NA,"# #ymm #ymmfire #rmwb",759458241562615808,"https://twitter.com/jarynvecchio/status/759458241562615808"
"9",NA,2016-07-30 11:20:00,2,0,"#fmspca is OPEN Wed to Sun July 27-31 11-5pm for FREE #pet #supplies Kennels, toys &more #ymmfire #ymmstrong #ymm pic.twitter.com/5A8EgKdaxc",NA,NA,"#fmspca #pet #supplies #ymmfire #ymmstrong #ymm",759408312689520640,"https://twitter.com/FMSPCA/status/759408312689520640"
"10",NA,2016-07-30 09:10:00,3,1,"More from @crdac regarding #ymm urban Councillors using #ymmfire to cancel essential service for a #Metis community http://www. fortmacconnect.ca/2016/07/major- blow-to-conklin-multiplex/ …",NA,"@crdac","#ymm #ymmfire #Metis",759375542181330944,"https://twitter.com/peterfortna/status/759375542181330944"
"11",NA,2016-07-29 21:10:00,1,1,"Do you have some time to #volunteer this week #ymm Sign up here & help the #fmspca http:// ow.ly/cUK2302mAl8 #ymmfire pic.twitter.com/EPt0dUMxTh",NA,NA,"#volunteer #ymm #fmspca #ymmfire",759194382788661248,"https://twitter.com/FMSPCA/status/759194382788661249"
"12",NA,2016-07-29 20:30:00,0,1,". @a_picazo Great choice! Excellent read by @warnicam on the #ymmfire .",NA,"@a_picazo @warnicam","#ymmfire",759184413104103424,"https://twitter.com/likelyjanlukas/status/759184413104103424"
"13",NA,2016-07-29 19:40:00,0,0,"Next: Canada's GDP dropped significantly in May due to the #ymmfire I talk to @trevortombe about the numbers http:// player.newstalk770.com",NA,"@trevortombe","#ymmfire",759171667990020096,"https://twitter.com/CalgaryToday/status/759171667990020096"
"14",NA,2016-07-29 18:26:00,0,1,"May was the worst month for Canada's economy in more than 7 years http://www. cbc.ca/1.3693968 #cdnpoli #canada #abfire #ymmfire #abpoli",NA,NA,"#cdnpoli #canada #abfire #ymmfire #abpoli",759153069808508928,"https://twitter.com/allthecdnpoli/status/759153069808508928"
"15",NA,2016-07-29 18:02:00,0,0,"Alberta fires torch economy, biggest monthly GDP decline in more than 7 years #ymmfire http://www. nationalobserver.com/2016/07/29/new s/alberta-fires-torch-economy-biggest-monthly-gdp-decline-more-7-years …",NA,NA,"#ymmfire",759147176073302016,"https://twitter.com/mikedesouza/status/759147176073302017"
"16",NA,2016-07-29 16:00:00,1,2,"Syncrude saves summer tree planting program despite delay due to #ymmfire : http:// ow.ly/bsk6302JLSh #oilsands #ymm pic.twitter.com/ZAmXFmCUXF",NA,NA,"#ymmfire #oilsands #ymm",759116489819553792,"https://twitter.com/SyncrudeCanada/status/759116489819553792"
"17",NA,2016-07-29 15:41:00,0,0,"Dans la série des pertes au 2e trimestre à cause de #ymmfire : Enbridge et Imperial Oil http:// ici.radio-canada.ca/regions/albert a/2016/07/29/007-compagnie-petroliere-alberta-enregistre-perte-deuxieme-trimestre.shtml … pic.twitter.com/g456iKYxwY",NA,NA,"#ymmfire",759111561579552768,"https://twitter.com/nicpelRC/status/759111561579552768"
"18",NA,2016-07-29 15:39:00,0,0,"Baisse de 0,6% du PIB en mai, la plus marquée depuis 2009 http:// ici.radio-canada.ca/regions/albert a/2016/07/29/004-baisse-pib-mai-plus-importante-fort-mcmurray-canada.shtml … #economie #ymmfire #fortmcmurray pic.twitter.com/FV1asnZm65",NA,NA,"#economie #ymmfire #fortmcmurray",759111228216213504,"https://twitter.com/nicpelRC/status/759111228216213504"
"19",NA,2016-07-29 15:35:00,3,3,"#fmspca is OPEN Wed to Sun July 27-31 11-5pm for FREE #pet #supplies Kennels, toys &more #ymmfire #ymmstrong #ymm pic.twitter.com/nRlk2MOVCi",NA,NA,"#fmspca #pet #supplies #ymmfire #ymmstrong #ymm",759110067253747712,"https://twitter.com/FMSPCA/status/759110067253747712"
"20",NA,2016-07-29 15:02:00,1,3,"#ymm float in #ylb parade giving thanks for communities #ymmfire response pic.twitter.com/xrpADaca6H",NA,NA,"#ymm #ylb #ymmfire",759101851253866496,"https://twitter.com/Glen_Allan_/status/759101851253866497"
"21",NA,2016-07-29 14:35:00,1,0,"ICYMI: Cdn #economy shrinks more than expected due to #ymmfire . #Statcan http:// bit.ly/2ahiUwN pic.twitter.com/oo4hp3Xkva",NA,NA,"#economy #ymmfire #Statcan",759094909408280576,"https://twitter.com/770CHQR/status/759094909408280576"
