"Word","Frequency"
"anxiety",1
"appreciate",1
"assistance",1
"bankruptcy",1
"building",2
"catastrophe",1
"communication",3
"complex",1
"could",1
"deal",1
"difficult",1
"disaster",5
"displacement",1
"evacuation",1
"exotic",3
"fair",1
"ferocious",1
"fire",2
"fled",1
"found",1
"heartbreaking",1
"helped",1
"information",1
"issues",3
"like",1
"linger",1
"may",1
"miracle",1
"money",1
"ongoing",1
"overlooked",4
"planning",4
"pretending",1
"ripped",1
"safe",1
"scars",1
"struggling",4
"stuck",1
"suicide",1
"time",2
"trauma",1
"trouble",1
"wildfire",5
