"tweets","words","sentiment"
1,"We",NA
1,"are",NA
1,"proud","anticipation"
1,"proud","joy"
1,"proud","positive"
1,"proud","trust"
1,"proud","positive"
1,"proud",NA
1,"to",NA
1,"have",NA
1,"supported","positive"
1,"supported","positive"
1,"supported",NA
1,"the",NA
1,"efforts",NA
1,"of",NA
1,"the",NA
1,"Red",NA
1,"Cross",NA
1,"during",NA
1,"the",NA
1,"ymmfire",NA
1,"pictwittercomdX1GjGsSLB",NA
2,"ymmfire",NA
2,"http",NA
2,"fbme4mkiZyaU2",NA
3,"The",NA
3,"emergency","fear"
3,"emergency","negative"
3,"emergency","sadness"
3,"emergency","surprise"
3,"emergency","negative"
3,"emergency",NA
3,"response",NA
3,"to",NA
3,"the",NA
3,"Fort",NA
3,"McMurray",NA
3,"wildfire","fear"
3,"wildfire","negative"
3,"wildfire","sadness"
3,"wildfire","surprise"
3,"will",NA
3,"be",NA
3,"reviewed",NA
3,"by",NA
3,"an",NA
3,"independent",NA
3,"third",NA
3,"party",NA
3,"httpwww",NA
3,"albertacareleasecfmxI",NA
3,"D43506A43B390CDFC1322098E154914097185B",NA
3,"…",NA
3,"ymmfire",NA
4,"Province",NA
4,"to",NA
4,"review",NA
4,"Fort",NA
4,"McMurray",NA
4,"wildfire","fear"
4,"wildfire","negative"
4,"wildfire","sadness"
4,"wildfire","surprise"
4,"evacuation","negative"
4,"ymm",NA
4,"",NA
4,"ymmfire",NA
4,"http",NA
4,"bitly2daMUAK",NA
4,"pictwittercomQx7p5eMSPF",NA
5,"Looking",NA
5,"forward","positive"
5,"to",NA
5,"StormHunters",NA
5,"premiere","positive"
5,"on",NA
5,"Sunday",NA
5,"debmatejicka",NA
5,"cstclair1",NA
5,"StormhunterTWN",NA
5,"weathernetwork",NA
5,"ymmfire",NA
5,"FortMcMurray",NA
5,"https",NA
5,"twittercomweathernetwork",NA
5,"status781543649284947968",NA
5,"…",NA
6,"Prof",NA
6,"Flannigan",NA
6,"gave",NA
6,"a",NA
6,"great","positive"
6,"great",NA
6,"great","positive"
6,"talk","positive"
6,"about",NA
6,"ymmfire",NA
6,"",NA
6,"breakfast","positive"
6,"on",NA
6,"the",NA
6,"6th",NA
6,"floor",NA
6,"of",NA
6,"the",NA
6,"Parliament",NA
6,"was",NA
6,"nice","positive"
6,"nice",NA
6,"too",NA
6,"WesternPartners",NA
6,"pictwittercomu9itn4rAXk",NA
7,"Alberta",NA
7,"to",NA
7,"review",NA
7,"Fort",NA
7,"McMurray",NA
7,"wildfire","fear"
7,"wildfire","negative"
7,"wildfire","sadness"
7,"wildfire","surprise"
7,"response",NA
7,"gpab",NA
7,"ymm",NA
7,"ymmfire",NA
7,"httpwww",NA
7,"mygrandeprairienowcom21983alberta",NA
7,"reviewfortmcmurraywildfireresponse",NA
7,"…",NA
