"tweets","words"
1,"Like"
1,"golf"
1,"Join"
1,"the"
1,"Dr"
1,"Melvin"
1,"Lee"
1,"Charity"
1,"Golf"
1,"Tournament"
1,"and"
1,"help"
1,"those"
1,"affected"
1,"in"
1,"Fort"
1,"McMurray"
1,"http"
1,"ottawasouthdentistcablog"
1,"ymmfire"
2,"New"
2,"law"
2,"to"
2,"protect"
2,"Fort"
2,"McMurray"
2,"residents"
2,"from"
2,"unscrupulous"
2,"builders"
2,"httpwww"
2,"cbcca13658421"
2,"ymm"
2,"ymmfire"
3,"I"
3,"will"
3,"not"
3,"forget"
3,"This"
3,"Council"
3,"will"
3,"not"
3,"forget"
3,"This"
3,"Mayor"
3,"will"
3,"not"
3,"forget"
3,"yeg"
3,"City"
3,"Mgr"
3,"re"
3,"CoE"
3,"staff"
3,"contribution"
3,"in"
3,"yeg"
3,"during"
3,"ymmfire"
4,"Beautiful"
4,"day"
4,"for"
4,"baseball"
4,"inymm"
4,"First"
4,"game"
4,"back"
4,"since"
4,"ymmfire"
4,"w"
4,"FMMGIANTS"
4,"Shell"
4,"Place"
4,"httpswww"
4,"instagramcompBHQbqVMAPex"
5,"Love"
5,"this"
5,"yeg"
5,""
5,"nice"
5,"work"
5,"ymmfire"
5,"pictwittercomYQjISn4s26"
6,"Alberta"
6,"sets"
6,"new"
6,"rules"
6,"for"
6,"Fort"
6,"McMurray"
6,"homebuilders"
6,"ymm"
6,"ymmfire"
6,"ableg"
6,"http"
6,"glbncaLvDUiW"
7,"Alberta"
7,"sets"
7,"new"
7,"rules"
7,"for"
7,"Fort"
7,"McMurray"
7,"homebuilders"
7,"ymm"
7,"ymmfire"
7,"ableg"
7,"http"
7,"glbncaXPYPwL"
8,"Alberta"
8,"sets"
8,"new"
8,"rules"
8,"for"
8,"Fort"
8,"McMurray"
8,"homebuilders"
8,"ymm"
8,"ymmfire"
8,"ableg"
8,"http"
8,"glbncaxDFqeU"
9,"Alberta"
9,"sets"
9,"new"
9,"rules"
9,"for"
9,"Fort"
9,"McMurray"
9,"homebuilders"
9,"ymm"
9,"ymmfire"
9,"ableg"
9,"http"
9,"glbncaxwe7ns"
10,"why"
10,"doesnt"
10,"your"
10,"club"
10,"campaign"
10,"against"
10,"geoengineering"
10,""
10,"ymmfire"
10,"evidence"
10,"sarmcbride"
10,"bcpoli"
10,"vanpoli"
10,"pictwittercomb9mMlifIIj"
11,"The"
11,"community"
11,"of"
11,"Fort"
11,"McMurray"
11,"wanted"
11,"to"
11,"say"
11,"thank"
11,"you"
11,"Share"
11,"your"
11,"stories"
11,"of"
11,"people"
11,"who"
11,"inspired"
11,"you"
11,"ymmfire"
11,"https"
11,"amptwimgcomvc7ee6468df0"
11,"a470f862ce4b48a7ff07a"
11,"…"
12,"Local"
12,"author"
12,"Dee"
12,"Bentley"
12,"is"
12,"calling"
12,"for"
12,"stories"
12,"for"
12,"a"
12,"book"
12,"shes"
12,"writing"
12,"to"
12,"commemorate"
12,"the"
12,"mass"
12,"evacuation"
12,"from"
12,"the"
12,"ymmfire"
12,""
12,"Story"
12,"6"
13,"You"
13,"are"
13,"an"
13,"inspiration"
13,"to"
13,"me"
13,"Thanks"
13,"for"
13,"the"
13,"card"
13,"you"
13,"sent"
13,"during"
13,"the"
13,"ymmfire"
13,""
13,"Giddy"
13,"Up"
14,"Follow"
14,"globalnews1"
14,"for"
14,"our"
14,"Snapchat"
14,"story"
14,"from"
14,"FireAid4YMM"
14,""
14,"Yeg"
14,"yegwx"
14,"ymmfire"
14,"ymmstrong"
14,"ymm"
14,"https"
14,"twittercomglobaledmplus"
14,"status748285128367976449"
14,"…"
15,"fireaidbenefit"
15,"my"
15,"jacket"
15,"is"
15,"off"
15,"sunglasses"
15,"on"
15,"seat"
15,"dry"
15,"Ready"
15,"to"
15,"help"
15,"ymmfire"
15,"FMUnitedWay"
15,"and"
15,"enjoy"
15,"show"
15,"pictwittercomxqiJmwRMCm"
16,"INTERVIEW"
16,"Conrad"
16,"Sauve"
16,"of"
16,"redcrosscanada"
16,""
16,""
16,"JDOnAirDJ"
16,"ymmstrong"
16,"ymmfire"
16,"RedCross"
16,"Listen"
16,"here"
16,"http"
16,"bitly29gewPu"
17,"alanthomasdoyle"
17,"AMAcommunity"
17,"ymmfire"
17,"look"
17,"who"
17,"we"
17,"ran"
17,"into"
17,"pictwittercomFPAKXgrKZh"
18,"A"
18,"huge"
18,"thank"
18,"you"
18,"to"
18,"all"
18,"the"
18,"first"
18,"responders"
18,"during"
18,"and"
18,"after"
18,"the"
18,"YMMFire"
18,""
18,"CISNGregg"
18,"chats"
18,"with"
18,"one"
18,"now"
18,"on"
18,"CISN"
18,""
18,"pictwittercomD605Aqz3kd"
19,"One"
19,"million"
19,"Canadians"
19,"helped"
19,"RedCross"
19,"campaign"
19,"for"
19,"Fort"
19,"McMurray"
19,"fire"
19,"victims"
19,"httpwww"
19,"cbcca13656650"
19,"ymm"
19,"ymmfire"
20,""
20,"Nickelback"
20,"randybachmancbc"
20,"Best"
20,"wishes"
20,"tonight"
20,"for"
20,"Fire"
20,"Aid"
20,"in"
20,"yeg"
20,"to"
20,"benefit"
20,"victims"
20,"of"
20,"ymmfire"
20,"Kudos"
20,"to"
20,"performers"
20,""
20,"ticket"
20,"buyers"
21,"The"
21,"Hub"
21,"has"
21,"received"
21,"a"
21,"100000"
21,"donation"
21,"of"
21,"baby"
21,"goods"
21,"from"
21,"Kacz"
21,"Kids"
21,"in"
21,"yyc"
21,""
21,"Items"
21,"to"
21,"be"
21,"distributed"
21,"by"
21,"provincial"
21,"program"
21,"ymmfire"
21,"ymm"
22,"Wow"
22,"Do"
22,"I"
22,"brave"
22,"this"
22,"or"
22,"stay"
22,"longer"
22,"at"
22,"CityofEdmonton"
22,"ymmfire"
22,"staff"
22,"appreciation"
22,"yegscooter"
22,"yegwx"
22,"pictwittercomRLBaNO3Uyi"
23,"Looking"
23,"forward"
23,"to"
23,"supporting"
23,"RMWoodBuffalo"
23,"at"
23,"the"
23,"Fire"
23,"Aid"
23,"Concert"
23,"this"
23,"evening"
23,"FireAid4YMM"
23,"ymmfire"
23,"ymmstrong"
24,"Province"
24,"to"
24,"regulate"
24,"companies"
24,"taking"
24,"part"
24,"in"
24,"Fort"
24,"McMurray"
24,"rebuild"
24,"ymm"
24,""
24,"ymmfire"
24,""
24,"ableg"
24,"http"
24,"bitly29bE01F"
24,"pictwittercomdu1a52U4J5"
25,"More"
25,"CityofEdmonton"
25,"Staff"
25,"Appreciation"
25,"for"
25,"ymmfire"
25,"support"
25,"pictwittercomk831QkU2eU"
26,"lessons"
26,"learned"
26,"from"
26,"slave"
26,"lakedidnt"
26,"they"
26,"clean"
26,"up"
26,"debris"
26,"before"
26,"letting"
26,"ppl"
26,"back"
26,"ymmfire"
26,"ymm"
27,"Stage"
27,"is"
27,"set"
27,"for"
27,"Fireaid"
27,"ymmfire"
27,"yeg"
27,"CBC"
27,"pictwittercomXlQvv67lLq"
28,"Councillor"
28,"Germain"
28,"accepting"
28,"council"
28,"pay"
28,"increase"
28,"but"
28,"takes"
28,"a"
28,"pay"
28,"cut"
28,"httpwww"
28,"mix1037fmcom20160629cou"
28,"ncillorgermainacceptingcouncilpayincreasebuttakesapaycutV3Q2cbunqDotwitter"
28,"…"
28,"ymmfire"
28,"ymm"
28,"rmwb"
28,"pictwittercomAXwLSXc42f"
29,"Councillor"
29,"Germain"
29,"accepting"
29,"council"
29,"pay"
29,"increase"
29,"but"
29,"takes"
29,"a"
29,"pay"
29,"cut"
29,"httpwww"
29,"mix1037fmcom20160629cou"
29,"ncillorgermainacceptingcouncilpayincreasebuttakesapaycutV3Q2cbunqDotwitter"
29,"…"
29,"ymmfire"
29,"ymm"
29,"rmwb"
29,"pictwittercomMpSDRmfIzI"
30,"Have"
30,"a"
30,"ymmfire"
30,"story"
30,"to"
30,"share"
30,"DeeTheScribbler"
30,"needs"
30,"submissions"
30,"for"
30,"a"
30,"new"
30,"book"
30,"More"
30,"on"
30,"ABPrimetime"
30,"611"
30,"ymm"
30,"pictwittercomUWjBKnHHkb"
31,"Always"
31,"a"
31,"pleasure"
31,"Russell"
31,"Great"
31,"to"
31,"see"
31,"and"
31,"chat"
31,"with"
31,"colleagues"
31,"about"
31,"ymmfire"
31,"response"
31,"and"
31,"what"
31,"comes"
31,"next"
32,"Displaced"
32,"ymmfire"
32,"evacuees"
32,"on"
32,"SAIT"
32,"campus"
32,"get"
32,"a"
32,"heartfelt"
32,"surprise"
32,"from"
32,"Ottawa"
32,"kids"
32,"http"
32,"owly5zBS301M22h"
32,"pictwittercomGgHYwr3STh"
33,"At"
33,"CityofEdmonton"
33,"Staff"
33,"Appreciation"
33,"for"
33,"ymmfire"
33,"support"
33,"Big"
33,"turnout"
33,"even"
33,"for"
33,"a"
33,"rainy"
33,"afternoon"
33,"pictwittercomc4cWHo5ScW"
34,"ABHeartland"
34,"supporting"
34,"fellow"
34,"Albertans"
34,"in"
34,"ymmfire"
34,"recovery"
34,"https"
34,"twittercomNCIAAlbertas"
34,"tatus748191870489137152"
34,"…"
35,"Government"
35,"confirms"
35,"South"
35,"African"
35,"firefighters"
35,"have"
35,"been"
35,"properly"
35,"paid"
35,"http"
35,"owlyJ62M301LVw1"
35,"ableg"
35,"ymmfire"
35,"pictwittercomPpwZnftR2Y"
36,"geoengineering"
36,"drought"
36,"we"
36,"can"
36,"make"
36,"rainforests"
36,"burnjust"
36,"like"
36,"in"
36,"ymmfire"
36,"pictwittercomu2KNr8bDNi"
36,"cdnpoli"
36,"bcpoli"
36,"https"
36,"twittercomClimateHourst"
36,"atus748245449446850560"
36,"…"
37,"If"
37,"youre"
37,"in"
37,"the"
37,"Edmonton"
37,"area"
37,"well"
37,"worth"
37,"a"
37,"stop"
37,"YEG"
37,"YEGevents"
37,"ymmfire"
37,"fireaidbenefit"
37,"https"
37,"twittercomCorbLundstatu"
37,"s748161277541777408"
37,"…"
38,"Province"
38,"says"
38,"the"
38,"300"
38,"South"
38,"African"
38,"firefighters"
38,"brought"
38,"in"
38,"to"
38,"fight"
38,"ymmfire"
38,"have"
38,"finally"
38,"been"
38,"paid"
38,"ymm"
38,"canlab"
39,"Summer"
39,"Camps"
39,"go"
39,"ahead"
39,"at"
39,"Heritage"
39,"Shipyard"
39,"httpwww"
39,"ymmmatterscomsyn34886618"
39,"661"
39,"…"
39,"ymm"
39,"ymmfire"
39,"rmwb"
39,"Mix1037radio"
39,"pictwittercomXgx49lQkgR"
40,"Remember"
40,"the"
40,"SA"
40,"Firefighters"
40,"Province"
40,"says"
40,"they"
40,"have"
40,"now"
40,"been"
40,"paid"
40,"according"
40,"to"
40,"AB"
40,"Labour"
40,"law"
40,"yeg"
40,"ableg"
40,"ymmfire"
40,"pictwittercomFqyW3wBsIH"
41,"Proud"
41,"UCalgary"
41,"was"
41,"the"
41,"largest"
41,"ymmfire"
41,"evacuee"
41,"site"
41,"in"
41,"AB"
41,"at"
41,"peak"
41,"of"
41,"crisis"
41,"Safe"
41,"travels"
41,"ymm"
41,"folks"
41,"pictwittercom5wbZxXidsi"
42,"ICYMI"
42,"SheldonGermain"
42,"talked"
42,"recovery"
42,"and"
42,"why"
42,"hes"
42,"taking"
42,"the"
42,"council"
42,"raise"
42,"http"
42,"bitly298vtwh"
42,"ymmfire"
42,"ymm"
42,"pictwittercomkeLeSykNKR"
43,"ICYMI"
43,"SheldonGermain"
43,"talked"
43,"recovery"
43,"and"
43,"why"
43,"hes"
43,"taking"
43,"the"
43,"council"
43,"raise"
43,"http"
43,"bitly298vtwh"
43,"ymmfire"
43,"ymm"
43,"pictwittercom5r1ru3CLgR"
44,"Province"
44,"acts"
44,"to"
44,"support"
44,"and"
44,"protect"
44,"Wood"
44,"Buffalo"
44,"residents"
44,"as"
44,"they"
44,"rebuild"
44,"httpwww"
44,"albertacareleasecfmxI"
44,"D4303623D749B9D1569264C86CC5C450DA73DA"
44,"…"
44,"ableg"
44,"ymmfire"
44,"abndp"
44,"ymm"
45,"“"
45,"660NEWS"
45,""
45,"LISTEN"
45,"Great"
45,"Big"
45,"Seas"
45,"Sean"
45,"McCann"
45,"pens"
45,"FortMcMurray"
45,"tribute"
45,"song"
45,"httpwww"
45,"660newscom20160629gre"
45,"atbigseasseanmccannpensfortmcmurraytributesong"
45,"…"
45,"ymm"
45,"ymmfire"
45,"pictwittercompDtRphBMlQ"
45,"”"
46,"Thanks"
46,"to"
46,"Dave"
46,"Hill"
46,"for"
46,"getting"
46,"my"
46,"truck"
46,"decal"
46,"today"
46,"ymm"
46,"ymmstrong"
46,"ymmfire"
46,"albertastrong"
46,"pictwittercomKn9IoAQRJo"
47,"Are"
47,"you"
47,"going"
47,"to"
47,"Fire"
47,"Air"
47,"to"
47,"raise"
47,"funds"
47,"for"
47,"the"
47,"ymmfire"
47,""
47,"http"
47,"owly5byH301LGic"
47,"pictwittercomiji4xTRmdQ"
48,"Majority"
48,"of"
48,"public"
48,"health"
48,"services"
48,"available"
48,"AHS"
48,"httpwww"
48,"ymmmatterscomsyn34886548"
48,"654"
48,"…"
48,"ymm"
48,"ymmfire"
48,"rmwb"
48,"Mix1037radio"
48,"pictwittercom5TaNvOadem"
49,"JeffPenney"
49,"Great"
49,"seeing"
49,"you"
49,"today"
49,"shellplace"
49,""
49,"Proud"
49,"to"
49,"share"
49,"the"
49,"story"
49,"of"
49,"how"
49,"ShellCanada"
49,"and"
49,"oilsands"
49,"helped"
49,"during"
49,"ymmfire"
49,""
49,"ymm"
50,"Tune"
50,"in"
50,"NOW"
50,"to"
50,"hear"
50,"SheldonGermain"
50,"talk"
50,"recovery"
50,"work"
50,"and"
50,"whether"
50,"hes"
50,"taking"
50,"the"
50,"council"
50,"raise"
50,"ymm"
50,"ymmfire"
50,"pictwittercomrktjYes85p"
51,"Tune"
51,"in"
51,"NOW"
51,"to"
51,"hear"
51,"SheldonGermain"
51,"talk"
51,"recovery"
51,"work"
51,"and"
51,"whether"
51,"hes"
51,"taking"
51,"the"
51,"council"
51,"raise"
51,"ymm"
51,"ymmfire"
51,"pictwittercom84nK2f2k8Q"
52,"So"
52,"happy"
52,"to"
52,"be"
52,"back"
52,"into"
52,"my"
52,"work"
52,"routine"
52,"ymmstrong"
52,"ymmfire"
52,"pictwittercomLj2uyIsoBt"
53,"Fort"
53,"McMurray"
53,"avec"
53,"ConradSauve"
53,""
53,"1"
53,"million"
53,"de"
53,"Canadiens"
53,"ont"
53,"donné"
53,"à"
53,"la"
53,"CroixRouge"
53,"ymmfire"
53,"http"
53,"bitly293Wz56"
53,"pictwittercomXSDID69kVP"
54,"Im"
54,"still"
54,"waiting"
54,"on"
54,"the"
54,"initial"
54,"funds"
54,"what"
54,"is"
54,"up"
54,"with"
54,"the"
54,"long"
54,"wait"
54,"ymm"
54,"ymmfire"
55,"Big"
55,"ups"
55,"to"
55,"BrettKissel"
55,"for"
55,"playing"
55,"both"
55,"Fort"
55,"Mac"
55,""
55,"Etown"
55,"in"
55,"one"
55,"day"
55,"for"
55,"fortmacrelief"
55,"fireaid"
55,"ymmfire"
55,"Thats"
55,"pretty"
55,"dope"
56,"Canadian"
56,"crude"
56,"imports"
56,"week"
56,"ending"
56,"624"
56,"303mbd"
56,"DOWN"
56,"2"
56,"week"
56,"on"
56,"week"
56,"OOTT"
56,"OIL"
56,"EIA"
56,"ymmfire"
57,"Rent"
57,"one"
57,"of"
57,"our"
57,"Hyrdroxyl"
57,"Generators"
57,"today"
57,"Call"
57,"7808044674"
57,"YMM"
57,"YMMFire"
57,"SupportLocal"
57,"pictwittercomkheNdFKn26"
58,"View"
58,"from"
58,"my"
58,"back"
58,"deck"
58,"we"
58,"live"
58,"in"
58,"one"
58,"of"
58,"the"
58,"hardest"
58,"hit"
58,"areas"
58,"ymmfire"
58,"rolo"
58,"dogsofinstagram"
58,"…"
58,"httpswww"
58,"instagramcompBHPtWchDtzg"
59,"not"
59,"sure"
59,"if"
59,"I"
59,"got"
59,"an"
59,"answer"
59,"ymmfire"
60,"Were"
60,"proud"
60,"of"
60,"our"
60,"members"
60,"and"
60,"their"
60,"staff"
60,"for"
60,"raising"
60,"173"
60,"million"
60,"for"
60,"the"
60,"redcrosscanada"
60,"in"
60,"support"
60,"of"
60,"ymmfire"
60,"fortsask"
60,"yeg"
60,"strathco"
61,"Tune"
61,"in"
61,"12"
61,"as"
61,"SheldonGermain"
61,"explains"
61,"the"
61,"Wood"
61,"Buffalo"
61,"Recovery"
61,"Committee"
61,"and"
61,"talks"
61,"council"
61,"raises"
61,"ymmfire"
61,"ymm"
61,"pictwittercom0fv0yuFuu0"
62,"Tune"
62,"in"
62,"12"
62,"as"
62,"SheldonGermain"
62,"explains"
62,"the"
62,"Wood"
62,"Buffalo"
62,"Recovery"
62,"Committee"
62,"and"
62,"talks"
62,"council"
62,"raises"
62,"ymmfire"
62,"ymm"
62,"pictwittercomnJTecI1YDB"
63,"Smittys"
63,"donates"
63,"10000"
63,"to"
63,"NorLightsHealth"
63,"at"
63,"pancake"
63,"breakfast"
63,"shellplace"
63,""
63,"all"
63,"part"
63,"of"
63,"Wood"
63,"Buffalo"
63,"Rocks"
63,"ymm"
63,"Mix1037radio"
63,"ymmfire"
64,"Today"
64,"is"
64,"the"
64,"Fire"
64,"Aid"
64,"for"
64,"Fort"
64,"McMurray"
64,"Benefit"
64,"Concert"
